link,Business Name,Phone Number,Website,Address,Typical Job Cost,Socials
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/olimpstroyservis-pfvwru-pf~1796572034,ОлимпСтройСервис,+74953746469,https://www.houzz.ru/trk/aHR0cHM6Ly9vbGltcHN0cm95c2VydmlzLnJ1Lw/111b03558a39dd6e6fb1774f5276363b/ue/MjE5NjM3NTQ/0017e0593ea3593a5de5b0d9574ae630,"Москва, Кочновский проезд, д.4, корп.2Москва 123456Россия",40 000 - 400 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/professional-dizayn-i-remont-pfvwru-pf~1327636748,Профессионал дизайн и ремонт,+74951202304,https://www.houzz.ru/trk/aHR0cHM6Ly9wcm9mc3Ryb3ltc2sucnUv/7fb6e3c56d8e22dfefd286d058c2a83c/ue/MzcwMzA3MTI/d3b284a33e5073289b1e2ddc87c2d61a,Москва 125000Россия,,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/plantehstroy-pfvwru-pf~2051144794,ПланТехСтрой,+74999644737,,"Нижняя Сыромятническая ул., д. 11 БМосква 105120Россия",19 000 - 40 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/remont-ekspress-pfvwru-pf~473047801,Ремонт-Экспресс,+74951543561,https://www.houzz.ru/trk/aHR0cHM6Ly9jbGNrLnJ1L0VrTWJm/d955b15eec1de9070f58c9583298d113/ue/NTM4MTg0NDk/a779fa16096ce535d95bc56c06d5846e,"Москва, м.Сокол, Ленинградский пр. д. 80 корпус ДСанкт-Петербург, БЦ Кварц, Пискарёвский просп., 63, литера А, офис 650Москва 125315Россия",РУБ2 390 -,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/apk-stroy-pfvwru-pf~1421553269,АПК Строй,+79776318880,https://www.houzz.ru/trk/aHR0cHM6Ly9hcGstc3Ryb3kucnU/6a28fc297e0e42a0efb980a82b0b6ea7/ue/NjEyMDk3ODE/d545d75e0cf970053a8aa6d6b42d95a2,"Москва, ул. Седова, д. 7, к.1Москва 127221Россия",РУБ50 000 -,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/trust-group-pfvwru-pf~974692770,TRUST GROUP,+79261274848,https://www.houzz.ru/trk/aHR0cDovL3RoZXRydXN0Z3JvdXAucnUv/b0e6f637be7e24c3b798291532e12d00/ue/MjcwNjY4MTg/b47e1742730d63568dee24cd9984a41c,Новочеремушкинская дом 60Москва 117420Россия,14 000 - 40 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/alpha-building-pfvwru-pf~1865755444,ALPHA BUILDING,+74956424493,https://www.houzz.ru/trk/aHR0cDovL2FscGhhYnVpbGRpbmcucHJv/b8eb8232307c2d571f888cdd6c1f2863/ue/NTQ4OTY4MDg/8c68060d258cfb7df94667ca3fa322d0,"Электродный проезд, Д.16Москва 111123Россия",РУБ14 000 -,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/tsentr-evroremonta-pfvwru-pf~1453241560,Центр Евроремонта,+79085733684,https://www.houzz.ru/trk/aHR0cDovL2V1cm9yZW1vbnQ3NC5ydQ/e9a2a0279bdf2edc7dfa2320dab993db/ue/MzMzMTQ0MjA/99b7cd8e7efb2b8a0bc567f7f2117169,"ул. Труда 78, оф. 1104 БЦ ""Ньютон""Челябинск 454000Россия",,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/next-proekt-m-nekst-proekt-m-pfvwru-pf~1513748874,Next Proekt M (Некст Проект М),+74959840099,https://www.houzz.ru/trk/aHR0cDovL25leHRwcm9la3QucnU/2a187b580da2ad7269c1f36ef75bc5fe/ue/NTkyNzgxOTQ/5ce3759008fd819c0a5103254c88fe7b,"Москва, Пресненская набережная, дом 6, стр.2Москва 129110Россия",РУБ15 000 -,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/ask-pomestye-pfvwru-pf~941262583,АСК  Поместье,+79851114111,https://www.houzz.ru/trk/aHR0cDovL3BvbWVzdHllLnJ1/21c9771de1c7b140e06affed3a07d29c/ue/MjkzMjQ0MTk/5107d48700a1dae426579a98cd3f8980,"Москва, Гостиничная, 5Москва 123022Россия",РУБ1 000 000 - 100 миллиона,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/hcproject-pfvwru-pf~1478212483,HCproject,+79165086464,https://www.houzz.ru/trk/aHR0cDovL2hjcHJvamVjdC5ydQ/d45dd36bd80320df54c84810d3d304c3/ue/MjgwOTEzNzk/70373e1744ce5745264b9c781675157e,Москва 125464Россия,1 500 - 2 500 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/moskovskiy-tsentr-zagorodnogo-stroitelystva-vevanta-pfvwru-pf~1924470078,Московский Центр загородного строительства Веванта,+74993468470,https://www.houzz.ru/trk/aHR0cHM6Ly9tc2sudmV2YW50YS5jb20v/16e5c148feb3d85d5ed9dd668ad7a1ac/ue/NTQ5Mzc2Mzg/e3b36f61d7bfc6f260b06d13b767d1cd,"ул. Бутлерова, д. 17, офис 3002Москва 117342Россия",40 000 - 100 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/norveks-pfvwru-pf~1133977858,Норвекс,+74957241363,,Москва 105120Россия,от 50 000 руб./м2 - до 200 000 руб./м2,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/avantum-pfvwru-pf~1228388539,Авантум,+74955323179,https://www.houzz.ru/trk/aHR0cHM6Ly9hdmFudHVtLXJlbW9udC5ydQ/c28c5b6abd8af80804ae6b48db7232cf/ue/NTc0NDY1MjM/f3214cf74e9d06e25cc300250e64bd5d,Бибиревская д.10 к.1Москва 127549Россия,8 500 - 14 500 ₽,
https://www.houzz.ru/hznb/professionaly/stroitelynye-kompanii/stroitelynaya-kompaniya-ritm-pfvwru-pf~1991852060,Строительная компания Ритм,+74952260054,https://www.houzz.ru/trk/aHR0cDovL2h0dHA6Ly9yaXRtLXJlbW9udC5ydS8/ecf0e37156e29f913b5489d73dc1ab1f/ue/NTg5MjM1NTY/196044e3e455f5ef60ff662abb7b0fec,"г. Москва, Проспект Мира 101с1Москва 141241Россия",,
https://www.houzz.ru/hznb/professionaly/stroitelynye-kompanii/ecolund-pfvwru-pf~851397630,Ecolund,+78126605812,https://www.houzz.ru/trk/aHR0cDovL3d3dy5lY29sdW5kLnJ1/d7d71642ed37cb97a70e1e3e42389087/ue/NjUyNTAzMTA/594dc64cc1b0c7efd580493dcc6d74be,Петроградская набережная 18. Корп. 3.Санкт-Петербург 191186Россия,"3,9 миллиона - 7,9 миллиона ₽",
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/nb-chastnyy-development-pfvwru-pf~253319968,НБ Частный Девелопмент,+79650038822,https://www.houzz.ru/trk/aHR0cDovL3d3dy5uYi1ob21lLmNvbQ/16a310aa1fc32a4f8337c4a0e02c26cd/ue/MjUzNDAzNzY/a697d085e518a27f738280f26cfb70b9,Санкт-Петербург 194156Россия,,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/arhitekturnaya-studiya-kateriny-mayer-pfvwru-pf~1169373301,Архитектурная студия Катерины Майер,+79264466499,https://www.houzz.ru/trk/aHR0cDovL3Bza2F2YW5nYXJkLmNvbQ/cc1c0cb670cfe25ba6489085d2257a96/ue/NTI3MzEwNjk/45d2e7d961dc9908f814a60612af0e1f,Москва 117342Россия,1 000 - 3 900 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/krotex-pfvwru-pf~631357001,KROTEX,+74959998921,https://www.houzz.ru/trk/aHR0cDovL2tyb3RleHByby5ydS8/a374eeae27799dd25f66057648ae68ea/ue/MzQ0MDYyMjE/4eb3d97febd3b509e584d9753c14254f,"г.Москва, МКАД 65км(внеш.), выставка домов, пав.07, пав.11Москва 125009Россия",РУБ30 000 - 70 000 руб./м2,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/rupan-pfvwru-pf~1738682320,Рупан,+79067234959,https://www.houzz.ru/trk/aHR0cDovL3d3dy5ydXBhbi5ydS8/d5a45181c7658971951d7ea5a8be45db/ue/MzcwODY5NTY/d9ccf09b36a10dd7c3d844c70443f31a,Москва 125000Россия,РУБ250 000 -,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/planka-pfvwru-pf~1798254094,PLANKA,+74952351005,https://www.houzz.ru/trk/aHR0cDovL3BsYW5rYS1idXJvLmNvbQ/933f6828c8916a7c77cb5272dcefe5af/ue/NDg2MjY0NzQ/f35f537880516eb223ac8a586889c9a0,"Самокатная ул., 4 стр. 1Москва 109388Россия",,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/stroitelynaya-kompaniya-rrk-pfvwru-pf~1797049394,Строительная Компания РРК,+79627180283,https://www.houzz.ru/trk/aHR0cDovL3Jyay1zdHJveS5ydS8/dbaf6198229853f376dc3f62b78e18f9/ue/MzExODUxMzA/9b06d989e31325312d22a4a9dc90375d,"Парфёновская ул., 5Cанкт-Петербург 196084Россия",10 000 - 1 миллион ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/masterskaya-drevnerusskiy-dom-pfvwru-pf~943109867,"Мастерская ""ДРЕВНЕРУССКИЙ ДОМ""",+74957443937,https://www.houzz.ru/trk/aHR0cHM6Ly9rZWxvaG91c2UucnUv/1c9c6f61bd1948a60d1f53834a21923d/ue/NTg0ODgxMzE/db0e9221fd835586e2bac6ca38660aa0,"Милютинский пер., д.10, стр.2Москва 101000Россия",,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/ooo-ekokomplekt-pfvwru-pf~1455379048,"ООО ""Экокомплект""",+74994330570,https://www.houzz.ru/trk/aHR0cHM6Ly9kb21vZ2F0c2t5LnJ1Lw/98969d2e23013a9d5d9af50a247b8e2d/ue/NjUxNTg1MTY/60be4a13dcf34e9402e8e8f1e93a8850,"Москва, Волгоградский проспект, 47, офис 406Санкт-Петербург, ул. 1-я Советская, д. 6 к 2, 311Москва 109316Россия","1,7 миллиона - 4,6 миллиона ₽",
https://www.houzz.ru/hznb/professionaly/stroitelynye-kompanii/ekotektura-pfvwru-pf~130339752,Экотектура,+79641002233,,"г. Иркутск, ул. Баррикад, 51/4, офис 4-2-2-8, территория Арт-завода «Доренберг»Иркутск 664019Россия",0 - 7 миллиона ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/narhozstroy-pfvwru-pf~565498951,Нархозстрой,+74959789658,https://www.houzz.ru/trk/aHR0cHM6Ly9uYXJob3pzdHJveS5ydS8/c4e6b0f7e1d98d83600a5cf425cded6c/ue/NTYyNTQzNTE/400e9d09e1fd24db9491cb73b0347bfc,"Московская область, Наро-Фоминский городской округ, деревня СимбуховоНаро-Фоминский Район 143393Россия",,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/lime-natyazhnye-sistemy-i-osveshchenie-pfvwru-pf~1135670434,Lime натяжные системы и освещение,+78123295355,https://www.houzz.ru/trk/aHR0cDovL3NwYnBvdG9sb2sucnU/1b38442a7f532625f01e2e0aeef690b6/ue/NTE5MjU1MDI/f63af1b539fe23eaf0d5d91a3aabadc5,Санкт-Петербург 192007Россия,,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/good-wood-pfvwru-pf~756817481,GOOD WOOD,+78003331111,https://www.houzz.ru/trk/aHR0cDovL2d3ZC5ydQ/e756b609c6acff6830c00ef00eaba2a7/ue/MzA4NjcyNzM/17cbd9d800b4e0c99d1dfd7e9ab9b607,Москва 119019Россия,РУБ25 000 - 40 000,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/ooo-kadrin-pfvwru-pf~188545250,"ООО ""Кадрин""",+74953671640,https://www.houzz.ru/trk/aHR0cDovL2thZHJpbi5ydQ/26f369317afcc7044297a6eae26b7d67/ue/NjQ1MjU3ODY/838de50d3816b9ef8b589ef606a2c128,"г. Москва, ул. Большая Почтовая, 36, стр.1, офис 21Москва 105082Россия",,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/cityroof-pfvwru-pf~2082081469,CityRoof,+78129335316,https://www.houzz.ru/trk/aHR0cDovL2NpdHktcm9vZi5ydQ/5190d1bd73cd70ea8bacf3be08974325/ue/Mjg4MTUzOTM/ea8cb1a698889bc17117087613827e59,Санкт-Петербург 199000Россия,8 000 - 35 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/pn-servis-pfvwru-pf~1295509549,ПН-Сервис,+79046103154,https://www.houzz.ru/trk/aHR0cHM6Ly92ay5jb20vcG5zZXJ2/eca0c07e6a0ed6f5a3d6ccf71a9ca178/ue/NTcyNTIxNTM/9f2f28d78a4d5447ab147dd2fc772410,"Санкт-Петербург, Приморский Проспект, Д. 151Санкт-Петербург 197374Россия",2 500 - 20 000 ₽,
